sisben_area,sisben_score,spadies_any,cutoff
Main metro area,-64.19999694824219,1,-57.21
Main metro area,-60.79000091552734,0,-57.21
Other urban area,-46.20000076293945,0,-56.32
Other urban area,-75.01000213623047,1,-56.32
Main metro area,-72.44000244140625,1,-57.21
Main metro area,-60.40000152587891,1,-57.21
Main metro area,-29.02000045776367,0,-57.21
Main metro area,-51.90000152587891,1,-57.21
Main metro area,-48.06000137329102,0,-57.21
Main metro area,-59.5099983215332,0,-57.21
Main metro area,-59.40000152587891,1,-57.21
Main metro area,-56.15000152587891,1,-57.21
Main metro area,-65.11000061035156,1,-57.21
Main metro area,-44.90999984741211,1,-57.21
Main metro area,-74.62000274658203,0,-57.21
Other urban area,-64.08000183105469,1,-56.32
Main metro area,-58.4900016784668,0,-57.21
Main metro area,-77.06999969482422,1,-57.21
Main metro area,-62.40999984741211,1,-57.21
Other urban area,-71.72000122070313,1,-56.32
Other urban area,-40.52000045776367,1,-56.32
Main metro area,-68.98999786376953,0,-57.21
Main metro area,-74.36000061035156,1,-57.21
Other urban area,-67.52999877929688,0,-56.32
Main metro area,-9.68,1,-57.21
Other urban area,-70.75,1,-56.32
Rural area,-38.25,1,-40.75
Other urban area,-61.81999969482422,0,-56.32
Main metro area,-63.52000045776367,1,-57.21
Other urban area,-62.54000091552734,1,-56.32
Other urban area,-51.0099983215332,1,-56.32
Rural area,-14.01,1,-40.75
Main metro area,-51.5,0,-57.21
Main metro area,-33.43000030517578,1,-57.21
Main metro area,-65.84999847412109,0,-57.21
Main metro area,-66.33000183105469,1,-57.21
Other urban area,-62.43000030517578,1,-56.32
Other urban area,-70.41000366210938,0,-56.32
Main metro area,-50.52999877929688,1,-57.21
Main metro area,-38.61,1,-57.21
Other urban area,-80.01999664306641,1,-56.32
Other urban area,-73.01999664306641,0,-56.32
Main metro area,-38.2599983215332,1,-57.21
Main metro area,-44.09000015258789,1,-57.21
Other urban area,-65.95999908447266,1,-56.32
Main metro area,-65.69999694824219,1,-57.21
Other urban area,-58.9900016784668,1,-56.32
Rural area,-76.93000030517578,1,-40.75
Other urban area,-58.90999984741211,0,-56.32
Other urban area,-62.7400016784668,0,-56.32
Other urban area,-74.25,0,-56.32
Other urban area,-68.48000335693359,1,-56.32
Other urban area,-15.61999988555908,1,-56.32
Other urban area,-38.84000015258789,1,-56.32
Main metro area,-62.36999893188477,1,-57.21
Other urban area,-71.75,1,-56.32
Other urban area,-58.5099983215332,1,-56.32
Other urban area,-57.79999923706055,0,-56.32
Rural area,-23.95999908447266,1,-40.75
Other urban area,-19.51000022888184,1,-56.32
Main metro area,-57.63000106811523,0,-57.21
Main metro area,-51.65000152587891,0,-57.21
Main metro area,-58.63999938964844,1,-57.21
Other urban area,-73.55000305175781,1,-56.32
Other urban area,-62.0099983215332,0,-56.32
Main metro area,-62.86000061035156,0,-57.21
Other urban area,-65.87000274658203,1,-56.32
Other urban area,-74.16000366210938,1,-56.32
Main metro area,-30.73999977111816,1,-57.21
Main metro area,-73.52999877929688,0,-57.21
Main metro area,-61.56000137329102,1,-57.21
Main metro area,-56.65999984741211,1,-57.21
Other urban area,-31.29999923706055,1,-56.32
Main metro area,-44.77999877929688,1,-57.21
Other urban area,-66.05999755859375,0,-56.32
Other urban area,-63.47999954223633,1,-56.32
Main metro area,-44.06,0,-57.21
Other urban area,-44.56000137329102,0,-56.32
Other urban area,-48.52999877929688,0,-56.32
Main metro area,-57.36999893188477,1,-57.21
Main metro area,-59.16999816894531,1,-57.21
Main metro area,-57.47999954223633,0,-57.21
Other urban area,-71.29000091552734,1,-56.32
Other urban area,-67.26000213623047,1,-56.32
Main metro area,-28.65999984741211,1,-57.21
Other urban area,-78.47000122070313,1,-56.32
Other urban area,-73.69000244140625,0,-56.32
Main metro area,-12.8100004196167,0,-57.21
Other urban area,-70.62999725341797,1,-56.32
Other urban area,-47.77000045776367,1,-56.32
Other urban area,-71.47000122070313,0,-56.32
Other urban area,-61.63999938964844,1,-56.32
Other urban area,-73.16999816894531,1,-56.32
Other urban area,-70.19999694824219,1,-56.32
Other urban area,-80.19000244140625,1,-56.32
Main metro area,-66.41000366210938,1,-57.21
Other urban area,-61.77999877929688,0,-56.32
Main metro area,-74.59999847412109,0,-57.21
Other urban area,-64.61000061035156,0,-56.32
Other urban area,-84.23999786376953,0,-56.32
Main metro area,-50.18000030517578,0,-57.21
Main metro area,-68.98999786376953,1,-57.21
Main metro area,-61.88999938964844,0,-57.21
Main metro area,-65.40000152587891,1,-57.21
Other urban area,-64.34999847412109,1,-56.32
Main metro area,-72,0,-57.21
Main metro area,-61.90000152587891,1,-57.21
Main metro area,-71.87000274658203,1,-57.21
Main metro area,-57.22999954223633,1,-57.21
Main metro area,-53.72999954223633,1,-57.21
Main metro area,-68.73999786376953,1,-57.21
Main metro area,-67.51000213623047,1,-57.21
Main metro area,-70.26999664306641,0,-57.21
Other urban area,-49.7599983215332,1,-56.32
Other urban area,-73.01000213623047,1,-56.32
Main metro area,-64.98000335693359,1,-57.21
Main metro area,-68.73999786376953,1,-57.21
Main metro area,-72.55000305175781,0,-57.21
Other urban area,-31.38999938964844,0,-56.32
Main metro area,-60.40000152587891,0,-57.21
Main metro area,-21.23999977111816,1,-57.21
Main metro area,-65.11000061035156,1,-57.21
Other urban area,-47.63000106811523,0,-56.32
Other urban area,-67.26999664306641,1,-56.32
Main metro area,-24.67,1,-57.21
Other urban area,-75.68000030517578,0,-56.32
Other urban area,-33.40000152587891,1,-56.32
Other urban area,-38.75,1,-56.32
Other urban area,-68.31999969482422,0,-56.32
Main metro area,-74.51999664306641,0,-57.21
Main metro area,-25.52000045776367,0,-57.21
Other urban area,-51.77000045776367,1,-56.32
Main metro area,-21.89999961853027,0,-57.21
Other urban area,-33.93999862670898,0,-56.32
Main metro area,-63.59000015258789,1,-57.21
Other urban area,-77.40000152587891,0,-56.32
Main metro area,-57.25,0,-57.21
Other urban area,-64.54000091552734,0,-56.32
Other urban area,-51.16999816894531,0,-56.32
Other urban area,-46.95000076293945,0,-56.32
Rural area,-58.63000106811523,0,-40.75
Other urban area,-62.79000091552734,0,-56.32
Other urban area,-19.23999977111816,0,-56.32
Main metro area,-64.61000061035156,0,-57.21
Other urban area,-66.23000335693359,0,-56.32
Other urban area,-63.29000091552734,0,-56.32
Main metro area,-54.47999954223633,0,-57.21
Main metro area,-64.54000091552734,0,-57.21
Rural area,-50.9900016784668,0,-40.75
Main metro area,-69.19999694824219,0,-57.21
Other urban area,-64.66000366210938,0,-56.32
Main metro area,-67.65000152587891,0,-57.21
Other urban area,-28.39999961853027,0,-56.32
Main metro area,-71.66000366210938,0,-57.21
Other urban area,-57.75,0,-56.32
Other urban area,-56.79999923706055,0,-56.32
Other urban area,-13.73999977111816,0,-56.32
Main metro area,-46.08000183105469,0,-57.21
Other urban area,-69.72000122070313,0,-56.32
Other urban area,-64.76000213623047,0,-56.32
Other urban area,-63.72999954223633,0,-56.32
Main metro area,-10.52000045776367,0,-57.21
Rural area,-6.840000152587891,0,-40.75
Other urban area,-69.98999786376953,0,-56.32
Main metro area,-64.83000183105469,0,-57.21
Other urban area,-51.38999938964844,0,-56.32
Other urban area,-77.34999847412109,0,-56.32
Other urban area,-61.22000122070313,0,-56.32
Other urban area,-25.70999908447266,0,-56.32
Other urban area,-58.40999984741211,0,-56.32
Main metro area,-70.81999969482422,0,-57.21
Other urban area,-35.02999877929688,0,-56.32
Other urban area,-73.62999725341797,0,-56.32
Main metro area,-39.79000091552734,0,-57.21
Rural area,-19.03000068664551,0,-40.75
Main metro area,-31.63999938964844,0,-57.21
Other urban area,-12.6899995803833,0,-56.32
Other urban area,-70,0,-56.32
Main metro area,-57.7400016784668,0,-57.21
Main metro area,-25.79999923706055,0,-57.21
Rural area,-22.64999961853027,0,-40.75
Main metro area,-63.2400016784668,0,-57.21
Main metro area,-61.34999847412109,0,-57.21
Rural area,-16.70999908447266,0,-40.75
Main metro area,-70.37999725341797,0,-57.21
Main metro area,-75.52999877929688,0,-57.21
Other urban area,-78.98999786376953,0,-56.32
Other urban area,-38.54000091552734,0,-56.32
Main metro area,-57.45999908447266,0,-57.21
Other urban area,-72.43000030517578,0,-56.32
Other urban area,-23.89999961853027,0,-56.32
Main metro area,-47.18,0,-57.21
Other urban area,-87.20999908447266,0,-56.32
Other urban area,-12.85999965667725,0,-56.32
Main metro area,-24.48999977111816,0,-57.21
Main metro area,-72.83999633789063,0,-57.21
Rural area,-15.61999988555908,0,-40.75
Main metro area,-60.02999877929688,0,-57.21
Main metro area,-66.5,0,-57.21
Other urban area,-26.34000015258789,0,-56.32
Main metro area,-65.23999786376953,0,-57.21
Main metro area,-60.70000076293945,0,-57.21
Main metro area,-54.88999938964844,0,-57.21
Main metro area,-59.5099983215332,0,-57.21
Other urban area,-56.95000076293945,0,-56.32
Other urban area,-84.30999755859375,0,-56.32
Main metro area,-61.61999893188477,0,-57.21
Other urban area,-39.18999862670898,0,-56.32
Other urban area,-40.65000152587891,0,-56.32
Rural area,-55.97000122070313,0,-40.75
Other urban area,-70.09999847412109,0,-56.32
Other urban area,-75.48999786376953,0,-56.32
Other urban area,-42.08000183105469,0,-56.32
Other urban area,-10.39999961853027,0,-56.32
Other urban area,-57.65000152587891,0,-56.32
Other urban area,-9.800000190734863,0,-56.32
Main metro area,-63.79000091552734,0,-57.21
Rural area,-29.06999969482422,0,-40.75
Rural area,-16.05999946594238,0,-40.75
Other urban area,-32.84000015258789,0,-56.32
Main metro area,-32.11999893188477,0,-57.21
Other urban area,-37.77000045776367,0,-56.32
Other urban area,-33.7599983215332,0,-56.32
Other urban area,-27.55999946594238,0,-56.32
Main metro area,-27.04999923706055,0,-57.21
Other urban area,-15.64999961853027,0,-56.32
Main metro area,-15.35000038146973,0,-57.21
Rural area,-62.93999862670898,0,-40.75
Main metro area,-60.88000106811523,0,-57.21
Other urban area,-63.2400016784668,0,-56.32
Other urban area,-5.5,0,-56.32
Other urban area,-33.20999908447266,0,-56.32
Other urban area,-45.56000137329102,0,-56.32
Main metro area,-9.090000152587891,0,-57.21
Other urban area,-72.23000335693359,0,-56.32
Main metro area,-63.09999847412109,0,-57.21
Other urban area,-41.58000183105469,0,-56.32
Main metro area,-51.15999984741211,0,-57.21
Other urban area,-34.54000091552734,0,-56.32
Other urban area,-63.88000106811523,0,-56.32
Main metro area,-16.47999954223633,0,-57.21
Other urban area,-66.63999938964844,0,-56.32
Other urban area,-45.95999908447266,0,-56.32
Other urban area,-45.54999923706055,0,-56.32
Main metro area,-38.38999938964844,0,-57.21
Other urban area,-68.09999847412109,0,-56.32
Rural area,-41.2400016784668,0,-40.75
Main metro area,-27.81999969482422,0,-57.21
Rural area,-14.34,0,-40.75
Rural area,-33.54999923706055,0,-40.75
Main metro area,-78.55999755859375,0,-57.21
Main metro area,-16.70999908447266,0,-57.21
Main metro area,-70.12999725341797,0,-57.21
Rural area,-24.31999969482422,0,-40.75
Other urban area,-75.52999877929688,0,-56.32
Main metro area,-63.06999969482422,0,-57.21
Rural area,-14.30000019073486,0,-40.75
Main metro area,-37.27999877929688,0,-57.21
Main metro area,-64.47000122070313,0,-57.21
Other urban area,-46.13000106811523,0,-56.32
Main metro area,-66.44999694824219,0,-57.21
Other urban area,-73.63999938964844,0,-56.32
Other urban area,-70.13999938964844,0,-56.32
Main metro area,-68.01000213623047,0,-57.21
Main metro area,-41.95000076293945,0,-57.21
Main metro area,-63.20000076293945,0,-57.21
Other urban area,-52.15000152587891,0,-56.32
Main metro area,-53.40999984741211,0,-57.21
Other urban area,-36.97000122070313,0,-56.32
Other urban area,-66.61000061035156,0,-56.32
Other urban area,-56.31000137329102,0,-56.32
Rural area,-48.54000091552734,0,-40.75
Main metro area,-63.7400016784668,0,-57.21
Other urban area,-34.79000091552734,0,-56.32
Other urban area,-17.59000015258789,0,-56.32
Other urban area,-66.69999694824219,0,-56.32
Other urban area,-44.34000015258789,0,-56.32
Main metro area,-27.11000061035156,0,-57.21
Main metro area,-65.11000061035156,0,-57.21
Main metro area,-72.73000335693359,0,-57.21
Main metro area,-78.20999908447266,0,-57.21
Rural area,-61.13000106811523,0,-40.75
Other urban area,-6.329999923706055,0,-56.32
Main metro area,-70.61000061035156,0,-57.21
Main metro area,-18.31999969482422,0,-57.21
Main metro area,-20.40999984741211,0,-57.21
Other urban area,-74.66999816894531,0,-56.32
